"","var1","var2","var3","var4","var5","var6","var7","var8"
"891","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","disseminate ideas through flyer distribution and door-to-door campaigning","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","7 years"
"892","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"893","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"894","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"895","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"896","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"897","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"898","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"899","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"900","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"901","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","environment and climate change","1 year"
"902","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","environment and climate change","25 years"
"903","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","environment and climate change","7 years"
"904","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","political and cultural rights","1 year"
"905","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","political and cultural rights","25 years"
"906","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","political and cultural rights","7 years"
"907","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","unemployment and poverty","1 year"
"908","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","unemployment and poverty","25 years"
"909","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local association","unemployment and poverty","7 years"
"910","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","1 year"
"911","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","25 years"
"912","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","7 years"
"913","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","1 year"
"914","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","25 years"
"915","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","7 years"
"916","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","1 year"
"917","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","25 years"
"918","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","7 years"
"919","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"920","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"921","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"922","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"923","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"924","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"925","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"926","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"927","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"928","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","1 year"
"929","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","25 years"
"930","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","7 years"
"931","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","1 year"
"932","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","25 years"
"933","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","7 years"
"934","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","1 year"
"935","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","25 years"
"936","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","7 years"
"937","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","1 year"
"938","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","25 years"
"939","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","7 years"
"940","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","1 year"
"941","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","25 years"
"942","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","7 years"
"943","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","1 year"
"944","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","25 years"
"945","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","7 years"
"946","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"947","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"948","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"949","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"950","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"951","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"952","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"953","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"954","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"955","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local association","environment and climate change","1 year"
"956","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local association","environment and climate change","25 years"
"957","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local association","environment and climate change","7 years"
"958","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","1 year"
"959","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","25 years"
"960","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local association","political and cultural rights","7 years"
"961","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","1 year"
"962","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","25 years"
"963","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local association","unemployment and poverty","7 years"
"964","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","1 year"
"965","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","25 years"
"966","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local branch of a political party","environment and climate change","7 years"
"967","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","1 year"
"968","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","25 years"
"969","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local branch of a political party","political and cultural rights","7 years"
"970","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","1 year"
"971","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","25 years"
"972","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year","distribute charity to the poor in the area","the opportunity to spend quality time with like-minded people","local branch of a political party","unemployment and poverty","7 years"
"973","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"974","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"975","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"976","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"977","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"978","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"979","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"980","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"981","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"982","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local association","environment and climate change","1 year"
"983","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local association","environment and climate change","25 years"
"984","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local association","environment and climate change","7 years"
"985","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local association","political and cultural rights","1 year"
"986","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local association","political and cultural rights","25 years"
"987","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local association","political and cultural rights","7 years"
"988","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local association","unemployment and poverty","1 year"
"989","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local association","unemployment and poverty","25 years"
"990","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local association","unemployment and poverty","7 years"
"991","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","1 year"
"992","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","25 years"
"993","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","environment and climate change","7 years"
"994","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","1 year"
"995","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","25 years"
"996","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","political and cultural rights","7 years"
"997","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","1 year"
"998","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","25 years"
"999","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","a potential job opportunity at a local institution","local branch of a political party","unemployment and poverty","7 years"
"1000","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"1001","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"1002","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"1003","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"1004","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"1005","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"1006","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"1007","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"1008","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"1009","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","1 year"
"1010","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","25 years"
"1011","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","environment and climate change","7 years"
"1012","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","1 year"
"1013","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","25 years"
"1014","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","political and cultural rights","7 years"
"1015","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","1 year"
"1016","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","25 years"
"1017","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local association","unemployment and poverty","7 years"
"1018","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","1 year"
"1019","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","25 years"
"1020","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","environment and climate change","7 years"
"1021","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","1 year"
"1022","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","25 years"
"1023","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","political and cultural rights","7 years"
"1024","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","1 year"
"1025","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","25 years"
"1026","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to become the local leader of the organization in the long term","local branch of a political party","unemployment and poverty","7 years"
"1027","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","1 year"
"1028","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","25 years"
"1029","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","environment and climate change","7 years"
"1030","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","1 year"
"1031","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years"
"1032","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","political and cultural rights","7 years"
"1033","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","1 year"
"1034","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","25 years"
"1035","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","Lebanese delegation of an international non-governmental organization","unemployment and poverty","7 years"
"1036","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","environment and climate change","1 year"
"1037","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","environment and climate change","25 years"
"1038","Lebanese delegation of an international non-governmental organization","political and cultural rights","25 years","contribute ideas","the opportunity to spend quality time with like-minded people","local association","environment and climate change","7 years"
